Instancia,Construcao,Busca local,N iteracoes,Media solucoes,Melhor solucao,N rodadas melhor sol,N conhecedores,Iteracao melhor sol
 instances/groupA/BlogCatalog-dataset.csv,1,2,413,210.430993,206,4,10312,238
 instances/groupA/BlogCatalog-dataset.csv,2,2,266,211.379699,207,6,10312,6
 instances/groupA/BlogCatalog-dataset.csv,3,2,411,210.321168,205,4,10312,165
 instances/groupA/BuzzNet-dataset.csv,1,2,151,133.304636,129,3,101168,4
 instances/groupA/BuzzNet-dataset.csv,2,2,13,139,135,3,101168,10
 instances/groupA/BuzzNet-dataset.csv,3,2,145,133.289655,130,3,101168,64
 instances/groupA/CA-AstroPh.txt,1,2,42,1894.452381,1726,578,18772,13
 instances/groupA/CA-AstroPh.txt,2,2,37,1860.567568,1698,468,18772,23
 instances/groupA/CA-AstroPh.txt,3,2,41,1896.317073,1707,540,18772,26
 instances/groupA/CA-CondMat.txt,1,2,46,2178.217391,2140,686,23133,38
 instances/groupA/CA-CondMat.txt,2,2,41,2148.487805,2113,714,23133,6
 instances/groupA/CA-CondMat.txt,3,2,43,2171.976744,2146,620,23133,42
 instances/groupA/CA-GrQc.txt,1,2,802,766.100998,756,125,5242,257
 instances/groupA/CA-GrQc.txt,2,2,758,764.610818,752,142,5242,242
 instances/groupA/CA-GrQc.txt,3,2,742,765.831536,752,163,5242,70
 instances/groupA/CA-HepPh.txt,1,2,132,1243.022727,1221,271,12008,23
 instances/groupA/CA-HepPh.txt,2,2,122,1239.663934,1210,329,12008,100
 instances/groupA/CA-HepPh.txt,3,2,125,1243.752,1213,363,12008,15
 instances/groupA/CA-HepTh.txt,1,2,248,1139.995968,1120,267,9877,97
 instances/groupA/CA-HepTh.txt,2,2,226,1134.261062,1113,295,9877,183
 instances/groupA/CA-HepTh.txt,3,2,226,1141.50885,1117,343,9877,140
 instances/groupA/Cit-HepTh.txt,1,2,30,2528.966667,2430,567,27770,19
 instances/groupA/Cit-HepTh.txt,2,2,26,2523.730769,2461,451,27770,18
 instances/groupA/Cit-HepTh.txt,3,2,27,2514.444444,2424,547,27770,1
 instances/groupA/facebook_combined.txt,1,2,82334,10,10,1,4039,1
 instances/groupA/facebook_combined.txt,2,2,15227,10,10,1,4039,1
 instances/groupA/facebook_combined.txt,3,2,50853,10,10,1,4039,1
 instances/groupA/power.gml,1,2,1069,588.75304,577,47,4941,695
 instances/groupA/power.gml,2,2,1005,592.957214,578,69,4941,567
 instances/groupA/power.gml,3,2,970,588.654639,577,89,4941,183
 instances/groupB/jazz.net,1,2,394520,14.062098,13,1,198,23917
 instances/groupB/jazz.net,2,2,367324,14.113804,13,1,198,856
 instances/groupB/jazz.net,3,2,286802,15.065659,13,1,198,25
 instances/groupB/karate.gml,1,2,5836098,3,3,4,34,1
 instances/groupB/karate.gml,2,2,5921564,3,3,4,34,1
 instances/groupB/karate.gml,3,2,4190706,3.418935,3,4,34,1
 instances/groupC/Amazon0302.txt,1,2,9,30167,30039,1787,262111,5
 instances/groupC/Amazon0302.txt,2,2,4,54048.5,53767,924,262111,1
 instances/groupC/Amazon0302.txt,3,2,9,29918.333333,29763,801,262111,1
 instances/groupC/Delicious-dataset.csv,1,2,11,13440.181818,13380,100,536408,6
 instances/groupC/Delicious-dataset.csv,2,2,2,51529.5,51187,72,536408,2
 instances/groupC/Delicious-dataset.csv,3,2,12,13276.416667,13214,262,536408,9
 instances/groupC/Douban-dataset.csv,1,2,170,4036.882353,3998,224,154908,123
 instances/groupC/Douban-dataset.csv,2,2,78,8102.141026,7872,54,154908,61
 instances/groupC/Douban-dataset.csv,3,2,174,4054.275862,3984,154,154908,4
 instances/groupC/Last.fm-dataset.csv,1,2,8,5373.5,5164,168,1191812,6
 instances/groupC/Last.fm-dataset.csv,2,2,0,-,-,-,-,-
 instances/groupC/Last.fm-dataset.csv,3,2,8,5317.125,5175,156,1191812,8
 instances/groupC/YouTube-dataset.csv,1,2,1,39715,39715,126,1138499,1
 instances/groupC/YouTube-dataset.csv,2,2,0,-,-,-,-,-
 instances/groupC/YouTube-dataset.csv,3,2,1,39585,39585,153,1138499,1
